ID,Name,Game,Type,Banner,Rarity,HP,HPFormula,AC,AttackBonus,AttackKind,AttackAbility,AttackRange,AttackTargets,Damage,DamageType,BonusDamage,BonusDamageType,Speed,Saves,SaveSTR,SaveDEX,SaveCON,SaveINT,SaveWIS,SaveCHA,SaveProficient,Attack,BaselineName,BaselineText,Healing,Special,CapstoneType,CapstoneText,ImageURL
38,Ezizh,AFK Arena,Support,1,3,17,3d6+4,12,4,Ranged Spell Attack,WIS,60 ft.,1 target,1d6+1,psychic,,,30 ft.,WIS +4,-1,+0,+0,+2,+4,+3,WIS,"Mind Lash (Ranged Spell Attack, range 60 ft., one target): A psychic tendril that rattles the target's thoughts dealing psychic damage.",Bolster (2 Options),"As an action, choose one:
- Rally: One ally within 30 ft. gains advantage on their next attack roll.
- Shield: One ally within 30 ft. gains 1d4+2 temporary HP.",,,,,https://static.wikia.nocookie.net/afk-arena/images/2/2a/Ezizh.png
39,Edwin,AFK Arena,Tank,1,3,19,6d6+6,15,3,Melee Weapon Attack,STR,5 ft.,1 target,1d6+2,slashing,,,25 ft.,CON +4,+3,+0,+4,-1,+1,+0,CON,"Heavy Cleave (Melee Weapon Attack, reach 5 ft., one target): A wide two-handed slashing strike from a heavy blade.",,,,,,,https://static.wikia.nocookie.net/afk-arena/images/1/1e/Edwin.png
40,Maetria,AFK Arena,DPS,1,3,21,4d6+4,12,4,Ranged Spell Attack,WIS,60 ft.,1 target,1d8+2,force,,,30 ft.,WIS +4,+0,+1,+0,+2,+4,+2,WIS,"Arcane Pulse (Ranged Spell Attack, range 60 ft., one target): A burst of stellar force magic that detonates on impact.",,,,,,,https://static.wikia.nocookie.net/afk-arena/images/7/75/Maetria.png
41,Nevanthi,AFK Arena,Support,1,4,29,5d8+6,13,5,Ranged Weapon Attack,DEX,30 ft.,1 target,1d8+2,piercing,,,30 ft.,DEX +5,+0,+5,+1,+1,+4,+3,DEX,"Vine Whip (Ranged Weapon Attack, range 30 ft., one target): A piercing vine-strike entwined with thorns and faint poison.",Bolster (2 Options),"As an action, choose one:
- Rally: One ally within 30 ft. gains advantage on their next attack roll.
- Shield: One ally within 30 ft. gains 1d4+2 temporary HP.",1/Summon (1d8+2),"Bloom of Life (Recharge 5-6): Nevanthi plants a Healing Flower at a point within 30 ft. for 3 rounds. Allies starting their turn within 10 ft. of the flower regain 1d6+2 HP. The flower has AC 10 and 1 HP; if destroyed, the effect ends.",,,https://static.wikia.nocookie.net/afk-arena/images/e/e3/Nevanthi.png
42,Canisa & Ruke,AFK Arena,Tank,1,5,74,10d10+20,17,5,Melee Weapon Attack,STR,5 ft.,1 target,1d10+3,slashing,,,30 ft.,CON +6 / STR +5,+5,+2,+6,+1,+3,+2,CON;STR,"Twinblade Strike (Melee Weapon Attack, reach 5 ft., one target): The wolf bites and the rider cleaves in tandem, dealing slashing damage.",,,,"Tag-Team Charge (Recharge 5-6): Canisa & Ruke charge up to 30 ft. in a straight line. Each creature in the path makes a DC 14 STR save. On a failed save, 3d8 slashing damage and is knocked prone; half as much damage and no prone on a successful save.",Passive,"Two as One -Canisa & Ruke share a wolf-companion shield equal to 15 temporary HP when this summon first enters play. While the shield holds, they have +5 ft. speed and may use Tag-Team Charge as a Recharge 5-6 ability. Once the temporary HP is depleted, Ruke (the wolf) disengages: Tag-Team Charge becomes unavailable for the rest of the summon's life and the unit loses the +5 ft. speed bonus. Neither returns unless this summon dies and is returned to play.",https://static.wikia.nocookie.net/afk-arena/images/6/69/Canisa%26R.png
43,Alvida,AFK Arena,Tank,2,3,51,10d8+16,17,5,Melee Weapon Attack,STR,5 ft.,1 target,1d10+3,bludgeoning,,,25 ft.,CON +6,+5,+2,+6,+1,+3,+2,CON,"Mace Smash (Melee Weapon Attack, reach 5 ft., one target): A heavy crushing strike from her ornate ceremonial mace.",,,,,,,https://static.wikia.nocookie.net/afk-arena/images/2/22/Alvida-.png
44,Scarlet,AFK Arena,DPS,2,3,44,8d8+12,14,6,Melee Weapon Attack,DEX,5 ft.,1 target,2d6+3,slashing,,,30 ft.,DEX +6,+4,+6,+4,+2,+3,+2,DEX,"Crimson Dagger (Melee Weapon Attack, reach 5 ft., one target): A vicious slashing strike from twin red blades that draws blood.",,,,,,,https://static.wikia.nocookie.net/afk-arena/images/7/7a/Scarlet.png
45,Silas,AFK Arena,Support,2,3,29,6d8+10,13,6,Melee Spell Attack,WIS,5 ft.,1 ally,1d8+2,radiant,,,30 ft.,WIS +6,+1,+2,+2,+4,+6,+5,WIS,"Healing Touch (Melee Spell Attack, reach 5 ft., one ally): A consecrated touch that radiates restorative light, healing 1d6+2 HP instead of dealing damage. If used on an enemy undead, deals 1d6+2 radiant damage instead.",Empower (3 Options),"As an action, choose one:
- Inspire: One ally within 30 ft. gains advantage on next attack and deals +1d4 damage on next hit.
- Fortify: One ally within 30 ft. gains 1d6+4 temporary HP.
- Hex: One enemy within 30 ft. has disadvantage on their next attack roll.",,,,,https://static.wikia.nocookie.net/afk-arena/images/a/a6/Silas.png
46,Eorin,AFK Arena,DPS,2,4,74,12d8+20,15,7,Ranged Spell Attack,WIS,60 ft.,1 target,2d8+4,cold,,,30 ft.,WIS +7,+3,+4,+3,+5,+7,+5,WIS,"Frost Bolt (Ranged Spell Attack, range 60 ft., one target): A streak of biting cold magic that deals cold damage.",,,,"Frozen Tempest (Recharge 5-6): 20-ft radius centered on a point within 60 ft. DC 14 CON save. On a failed save, 3d8 cold damage and target's speed is halved until end of next round; half as much damage and no slow on a successful save.",,,https://static.wikia.nocookie.net/afk-arena/images/9/92/Eorin.png
47,Belinda,AFK Arena,DPS,2,4,83,12d8+20,15,7,Ranged Spell Attack,WIS,60 ft.,1 target,2d8+4,piercing,,,30 ft.,WIS +7,+3,+4,+3,+5,+7,+5,WIS,"Light Arrow (Ranged Spell Attack, range 60 ft., one target): A piercing projectile of crystallized light.",,,,"Divine Judgment (Recharge 5-6): 30-ft line, 5 ft. wide. DC 14 DEX save. On a failed save, 3d8 radiant damage and one buff is dispelled; half as much damage and no dispel on a successful save.",,,https://static.wikia.nocookie.net/afk-arena/images/b/b7/Belinda.png
48,Veithael,AFK Arena,Tank,2,5,122,16d10+34,19,7,Melee Weapon Attack,STR,5 ft.,1 target + 1 adjacent,2d8+4,slashing,,,30 ft.,CON +8 / STR +7,+7,+4,+8,+3,+5,+4,CON;STR,"Greatsword Cleave (Melee Weapon Attack, reach 5 ft., one target plus one creature within 5 ft.): A divine slashing arc that strikes the primary target and one adjacent enemy.",,,,Wrathful Bulwark (Recharge 5-6): Veithael and each ally within 10 ft. gains 2d6+5 temporary HP and immunity to the Frightened condition until end of next round.,Ultimate,"Sanctified Aegis (1/Summon): Veithael smites the ground. 20-ft radius centered on him. DC 16 DEX save. On a failed save, 5d8 radiant damage and the target is knocked prone; half as much damage and no prone on a successful save. Allies in the radius gain 10 temporary HP and have advantage on their next attack.",https://static.wikia.nocookie.net/afk-arena/images/4/47/Veithael.png
49,Eironn,AFK Arena,DPS,3,3,109,12d10+20,16,8,Melee Weapon Attack,DEX,10 ft.,1 target,1d10+4,slashing,1d10,force,30 ft.,DEX +8,+6,+8,+6,+4,+5,+4,DEX,"Wind Slash (Melee Weapon Attack, reach 10 ft., one target): A scythe of compressed wind that slashes with force-edged blades.",,,,,,,https://static.wikia.nocookie.net/afk-arena/images/6/69/Eironn.png
50,Safiya,AFK Arena,DPS,3,3,85,12d10+20,16,8,Ranged Spell Attack,WIS,60 ft.,1 target,2d10+4,fire,,,30 ft.,WIS +8,+4,+5,+4,+6,+8,+6,WIS,"Sand Bolt (Ranged Spell Attack, range 60 ft., one target): A scouring magical sandstorm-bolt that abrades with fire damage.",,,,,,,https://static.wikia.nocookie.net/afk-arena/images/d/d9/Safiya.png
51,Naroko,AFK Arena,Tank,3,3,108,14d10+26,19,7,Melee Weapon Attack,STR,5 ft.,1 target,2d8+4,bludgeoning,,,25 ft.,CON +8,+7,+4,+8,+3,+5,+4,CON,"Heavy Strike (Melee Weapon Attack, reach 5 ft., one target): A resonant bludgeoning blow that echoes with bell-toll force.",,,,,,,https://static.wikia.nocookie.net/afk-arena/images/f/f0/Naroko.png
52,Trishea,AFK Arena,DPS,3,4,151,16d10+28,17,9,Melee Weapon Attack,DEX,5 ft.,1 target,1d12+5,piercing,1d12,cold,35 ft.,DEX +9,+7,+9,+7,+5,+6,+5,DEX,"Coral Spear (Melee Weapon Attack, reach 5 ft., one target): A piercing spear of jagged coral that bites with biting cold.",,,,"Tidal Tsunami (Recharge 5-6): 20-ft cone. DC 15 STR save. On a failed save, 3d10 cold damage and target is knocked prone and pushed 10 ft. away; half as much damage and no prone/push on a successful save.",,,https://static.wikia.nocookie.net/afk-arena/images/7/7b/Trishea.png
53,Rem,AFK Arena,DPS,3,5,151,18d12+30,18,11,Ranged Spell Attack,WIS,60 ft.,1 target,3d10+6,necrotic,,,40 ft.,WIS +11 / INT +9,+7,+8,+7,+9,+11,+9,WIS;INT,"Hex Bolt (Ranged Spell Attack, range 60 ft., one target): A bolt of cursed energy that drains the target with necrotic force.",,,,"Soul Curse (Recharge 5-6): One target within 60 ft. takes 4d8 necrotic damage immediately and is cursed: it takes an extra 1d8 necrotic damage at the start of each of its next two turns, and the curse then ends.",Ultimate,"Hour of Reckoning (1/Summon): 30-ft radius centered on Rem. DC 15 CON save. On a failed save, 6d6 necrotic damage and the target is Frightened of Rem until end of next round; half damage and not Frightened on a successful save.",https://static.wikia.nocookie.net/afk-arena/images/9/9d/Rem_Full_art.png
54,Lan,AFK Arena,Support,3,5,96,16d10+26,16,10,Ranged Spell Attack,WIS,60 ft.,1 target,2d10+5,radiant,,,30 ft.,WIS +10 / CHA +9,+5,+6,+6,+8,+10,+9,WIS;CHA,"Spirit Wave (Ranged Spell Attack, range 60 ft., one target): A pulse of sovereign spirit-light that strikes with radiant force.",Command (4 Options),"As an action, choose one:
- War Cry: One ally within 30 ft. gains advantage on next attack and deals +1d6 damage on next hit.
- Aegis: One ally within 30 ft. gains 1d8+6 temporary HP and resistance to one damage type until Support's next turn.
- Curse: One enemy within 30 ft. has disadvantage on next attack and speed halved until end of their next turn.
- Redirect: One enemy within 30 ft. makes a DC 14 WIS save or must attack a different target on their next turn.",1/Summon (4d8+5),Spirit Sanctuary (Recharge 5-6): Lan creates a 15-ft radius zone of protection at a point within 30 ft. for 2 rounds. Allies starting their turn in the zone regain 1d6+2 HP and gain +1 AC while inside it.,Passive,"Empowered Spirit Conduit -Whenever Lan uses Spirit Sanctuary or her Healing baseline ability, the lowest-HP ally within 60 ft. immediately regains an extra 1d6+3 HP and gains advantage on their next attack roll.",https://static.wikia.nocookie.net/afk-arena/images/c/c0/Lan.png
55,Portsmouth Adventure,Azur Lane,Support,1,3,9,3d6+4,12,4,Ranged Weapon Attack,DEX,80 ft.,1 target,1d6+1,piercing,,,30 ft.,DEX +4,-1,+4,+0,+0,+3,+2,DEX,"Cannon Volley (Ranged Weapon Attack, range 80 ft., one target): A fan of HE shells that bursts on impact, dealing piercing damage.",Bolster (2 Options),"As an action, choose one:
- Rally: One ally within 30 ft. gains advantage on their next attack roll.
- Shield: One ally within 30 ft. gains 1d4+2 temporary HP.",,,,,https://azurlane.netojuu.com/images/e/ef/Portsmouth_Adventure.png
56,Royal James,Azur Lane,DPS,1,3,14,4d6+4,12,4,Ranged Weapon Attack,DEX,80 ft.,1 target,1d8+2,piercing,,,30 ft.,DEX +4,+2,+4,+2,+0,+1,+0,DEX,"Cannon Volley (Ranged Weapon Attack, range 80 ft., one target): A focused piercing broadside from the privateer's guns.",,,,,,,https://azurlane.netojuu.com/images/9/9b/Royal_James.png
57,Ganj-i-Sawai,Azur Lane,Tank,1,3,23,6d6+6,15,3,Ranged Weapon Attack,DEX,80 ft.,1 target,1d6+2,piercing,,,25 ft.,CON +4,+0,+3,+4,-1,+1,+0,CON,"Heavy Cannon (Ranged Weapon Attack, range 80 ft., one target): A slow but devastating piercing salvo from the treasure-ship's main guns.",,,,,,,https://azurlane.netojuu.com/images/b/b3/Ganj-i-Sawai.png
58,São Martinho,Azur Lane,Tank,1,4,52,8d8+12,16,4,Ranged Weapon Attack,DEX,80 ft.,1 target,1d8+2,piercing,,,25 ft.,CON +5,+1,+4,+5,+0,+2,+1,CON,"Cannon Volley (Ranged Weapon Attack, range 80 ft., one target): A heavy flagship broadside of HE shells, dealing piercing damage.",,,,"Lance of the Golden Age (Recharge 5-6): SÃ£o Martinho fires a charged piercing volley in a 30-ft line. DC 14 DEX save. On a failed save, 3d8 piercing damage and the target is pushed 5 ft. away; half as much damage on a successful save.",,,https://azurlane.netojuu.com/images/2/2b/S%C3%A3o_Martinho.png
59,Queen Anne's Revenge,Azur Lane,DPS,1,4,43,6d8+8,13,5,Ranged Weapon Attack,DEX,80 ft.,1 target,1d10+3,piercing,,,30 ft.,DEX +5,+3,+5,+3,+1,+2,+1,DEX,"Cannon Volley (Ranged Weapon Attack, range 80 ft., one target): A piercing fusillade from her wide cannon array.",,,,"Evening Rose (Recharge 5-6): Queen Anne's Revenge fires a forward AoE volley. 15-ft cone. DC 14 DEX save. On a failed save, 3d8 piercing damage and 1d6 fire damage; half as much damage on a successful save. Queen Anne's Revenge has advantage on her next attack roll.",,,https://azurlane.netojuu.com/images/2/20/Queen_Anne%27s_Revenge.png
60,Pearl,Azur Lane,DPS,1,5,67,8d10+16,14,6,Ranged Weapon Attack,DEX,80 ft.,1 target,2d8+4,piercing,,,30 ft.,DEX +6 / STR +4,+4,+6,+4,+2,+3,+2,DEX;STR,"Cannon Volley (Ranged Weapon Attack, range 80 ft., one target): A multi-shot HE fan that splatters piercing damage across the target.",,,,"Heart of Pearl (Recharge 5-6): 15-ft cone. DC 15 DEX save. On a failed save, 4d6 piercing damage plus 1d6 fire damage; half as much damage on a successful save. Pearl then gains +2 to her next attack roll.",Ultimate,"Pearl Storm Barrage (1/Summon): Pearl unleashes her full broadside in a 30-ft cone. DC 15 DEX save. On a failed save, 5d8 piercing damage plus 2d6 fire damage; half as much damage on a successful save. Targets that fail are also pushed 10 ft. away.",https://azurlane.netojuu.com/images/7/73/Pearl.png
61,Adventure,Azur Lane,DPS,2,3,42,8d8+12,14,6,Ranged Weapon Attack,DEX,80 ft.,1 target,2d6+3,piercing,,,30 ft.,DEX +6,+4,+6,+4,+2,+3,+2,DEX,"Cannon Volley (Ranged Weapon Attack, range 80 ft., one target): A swift piercing barrage from an agile pirate frigate.",,,,,,,https://azurlane.netojuu.com/images/f/ff/Adventure.png
62,Whydah,Azur Lane,Tank,2,3,55,10d8+16,17,5,Ranged Weapon Attack,DEX,80 ft.,1 target,1d10+3,bludgeoning,,,25 ft.,CON +6,+2,+5,+6,+1,+3,+2,CON,"Cannon Volley (Ranged Weapon Attack, range 80 ft., one target): A heavy bludgeoning cannon broadside that splinters armor.",,,,,,,https://azurlane.netojuu.com/images/6/6a/Whydah.png
63,Adventure Galley,Azur Lane,Support,2,3,49,6d8+10,13,6,Ranged Weapon Attack,DEX,80 ft.,1 target,1d8+2,piercing,,,30 ft.,DEX +6,+1,+6,+2,+2,+5,+4,DEX,"Cannon Volley (Ranged Weapon Attack, range 80 ft., one target): A piercing oar-and-cannon hybrid strike at close range.",Empower (3 Options),"As an action, choose one:
- Inspire: One ally within 30 ft. gains advantage on next attack and deals +1d4 damage on next hit.
- Fortify: One ally within 30 ft. gains 1d6+4 temporary HP.
- Hex: One enemy within 30 ft. has disadvantage on their next attack roll.",,,,,https://azurlane.netojuu.com/images/7/7d/Adventure_Galley.png
64,Golden Hind,Azur Lane,DPS,2,4,73,12d8+20,15,7,Ranged Weapon Attack,DEX,100 ft.,1 target,2d8+4,piercing,,,30 ft.,DEX +7,+5,+7,+5,+3,+4,+3,DEX,"Cannon Volley (Ranged Weapon Attack, range 100 ft., one target): A long-range piercing cannon shot from the privateer's HE guns.",,,,"Land's End Helm (Recharge 5-6): Golden Hind gains +15 ft. speed and may move up to that distance. Her next attack on this turn has advantage; on hit, deals +2d6 piercing damage.",,,https://azurlane.netojuu.com/images/3/30/Golden_Hind.png
65,Lyme,Azur Lane,Support,2,4,54,10d8+14,14,7,Ranged Weapon Attack,DEX,80 ft.,1 target,1d10+3,piercing,,,30 ft.,DEX +7,+2,+7,+3,+3,+6,+5,DEX,"Cannon Volley (Ranged Weapon Attack, range 80 ft., one target): A piercing signal-cannon broadside from the patrol ship.",Empower (3 Options),"As an action, choose one:
- Inspire: One ally within 30 ft. gains advantage on next attack and deals +1d4 damage on next hit.
- Fortify: One ally within 30 ft. gains 1d6+4 temporary HP.
- Hex: One enemy within 30 ft. has disadvantage on their next attack roll.",1/Summon (2d8+3),"Spear of Order and Judgment (Recharge 5-6): Lyme sanctions one enemy within 60 ft. The target has disadvantage on its next saving throw against any ally's ability, and Lyme's next attack against it is made with advantage and is a critical hit on a 19 or 20.",,,https://azurlane.netojuu.com/images/7/76/Lyme.png
66,Fancy,Azur Lane,DPS,2,5,113,14d10+26,16,9,Ranged Weapon Attack,DEX,80 ft.,1 target,1d10+5,piercing,1d10,fire,35 ft.,DEX +9 / STR +7,+7,+9,+7,+5,+6,+5,DEX;STR,"Cannon Volley (Ranged Weapon Attack, range 80 ft., one target): A heavy multi-fan piercing broadside from Henry Every's flagship with HE-fire splash.",,,,"Henry Every's Plunder (Recharge 5-6): 30-ft cone. DC 15 DEX save. On a failed save, 4d6 piercing damage plus 1d6 fire damage; half as much damage on a successful save. Fancy gains temporary HP equal to half the damage dealt to any one creature (max 15 temporary HP).",Ultimate,"King of Pirates Barrage (1/Summon): Fancy fires every cannon at once. 30-ft radius centered on a point within 60 ft. DC 16 DEX save. On a failed save, 5d8 piercing damage plus 2d6 fire damage; half as much damage on a successful save.",https://azurlane.netojuu.com/images/4/47/Fancy.png
67,Dolphin,Azur Lane,Support,3,3,73,10d8+16,14,8,Ranged Weapon Attack,DEX,60 ft.,1 target,2d6+3,piercing,,,30 ft.,DEX +8,+3,+8,+4,+4,+7,+6,DEX,"Cannon Volley (Ranged Weapon Attack, range 60 ft., one target): A light piercing barrage from the swift scout submarine-tender.",Command (4 Options),"As an action, choose one:
- War Cry: One ally within 30 ft. gains advantage on next attack and deals +1d6 damage on next hit.
- Aegis: One ally within 30 ft. gains 1d8+6 temporary HP and resistance to one damage type until Support's next turn.
- Curse: One enemy within 30 ft. has disadvantage on next attack and speed halved until end of their next turn.
- Redirect: One enemy within 30 ft. makes a DC 14 WIS save or must attack a different target on their next turn.",,,,,https://azurlane.netojuu.com/images/0/0b/Dolphin.png
68,Amity,Azur Lane,DPS,3,3,74,12d10+20,16,8,Ranged Weapon Attack,DEX,80 ft.,1 target,2d10+4,piercing,,,30 ft.,DEX +8,+6,+8,+6,+4,+5,+4,DEX,"Cannon Volley (Ranged Weapon Attack, range 80 ft., one target): A swift piercing privateer broadside.",,,,,,,https://azurlane.netojuu.com/images/a/a0/Amity.png
69,Mary Celeste,Azur Lane,Support,3,3,72,10d8+16,14,8,Ranged Spell Attack,WIS,80 ft.,1 target,2d6+3,necrotic,,,30 ft.,WIS +8,+3,+4,+4,+6,+8,+7,WIS,"Ghostly Volley (Ranged Spell Attack, range 80 ft., one target): A spectral cannon-volley laced with necrotic phantom-energy.",Command (4 Options),"As an action, choose one:
- War Cry: One ally within 30 ft. gains advantage on next attack and deals +1d6 damage on next hit.
- Aegis: One ally within 30 ft. gains 1d8+6 temporary HP and resistance to one damage type until Support's next turn.
- Curse: One enemy within 30 ft. has disadvantage on next attack and speed halved until end of their next turn.
- Redirect: One enemy within 30 ft. makes a DC 14 WIS save or must attack a different target on their next turn.",,,,,https://azurlane.netojuu.com/images/f/ff/Mary_Celeste.png
70,Royal Fortune,Azur Lane,DPS,3,4,123,16d10+28,17,9,Ranged Weapon Attack,DEX,80 ft.,1 target,1d12+5,piercing,1d12,fire,35 ft.,DEX +9,+7,+9,+7,+5,+6,+5,DEX,"Cannon Volley (Ranged Weapon Attack, range 80 ft., one target): A wide HE-fan broadside from history's deadliest pirate vessel, with piercing and fire splash.",,,,"All Hands to Quarters (Recharge 5-6): Royal Fortune fires a special main-gun salvo at one target within 80 ft. On hit, deals +2d8 piercing damage and the target's speed is halved until end of its next turn. Tempesta allies within 30 ft. deal +1d6 damage on their next attack.",,,https://azurlane.netojuu.com/images/d/df/Royal_Fortune.png
71,Bismarck Zwei,Azur Lane,Tank,3,4,150,18d12+30,20,8,Ranged Weapon Attack,DEX,120 ft.,1 target,1d10+4,piercing,1d10,fire,30 ft.,CON +9,+5,+8,+9,+4,+6,+5,CON,"Heavy Naval Cannon (Ranged Weapon Attack, range 120 ft., one target): A massive HE shell from a Bismarck-class main turret, dealing crushing piercing and fire damage.",,,,"Schwarz Vortex (Recharge 5-6): Bismark Zwei conjures a dark gravitic vortex centered on a point within 60 ft. (20-ft radius). DC 15 STR save. On a failed save, each creature in the radius takes 3d6 force damage and is pulled 10 ft. toward the vortex center; half as much damage and no pull on a successful save.",,,https://azurlane.netojuu.com/images/a/a3/Bismarck_Zwei.png
72,Lion,Azur Lane,Tank,3,5,149,22d12+40,21,9,Ranged Weapon Attack,DEX,120 ft.,1 target,1d12+5,piercing,1d12,fire,30 ft.,CON +10 / DEX +9,+6,+9,+10,+5,+7,+6,CON;DEX,"Royal Navy Main Gun (Ranged Weapon Attack, range 120 ft., one target): A heavy piercing HE broadside from the Royal Navy flagship, bursting into flame on impact.",,,,"Lion's Roar (Recharge 5-6): 60-ft line, 5 ft. wide. DC 15 DEX save. On a failed save, 4d8 piercing damage plus 2d6 fire damage and the target's AC is reduced by 2 until end of next round; half as much damage and no AC penalty on a successful save.",Passive,"Pride of the Royal Navy -Lion has resistance to piercing damage. While Lion is above half HP, all allies within 30 ft. gain +1 to their attack rolls. Once ever, the first time Lion drops below half HP, she gains 15 temporary HP.",https://azurlane.netojuu.com/images/4/47/Lion.png
73,Astolfo,Fate GO,Tank,1,3,29,6d6+6,15,3,Melee Weapon Attack,STR,10 ft.,1 target,1d6+2,piercing,,,25 ft.,CON +4,+3,+0,+4,-1,+1,+0,CON,"Lance Strike (Melee Weapon Attack, reach 10 ft., one target): A swift piercing lance-thrust from the legendary paladin.",,,,,,,https://static.wikia.nocookie.net/fategrandorder/images/a/ac/S094_Costume1.webp
74,Jeanne d'Arc,Fate GO,Support,1,3,11,3d6+4,12,4,Melee Weapon Attack,DEX,5 ft.,1 target,1d6+1,piercing,,,30 ft.,DEX +4,-1,+4,+0,+0,+3,+2,DEX,"Banner Strike (Melee Weapon Attack, reach 5 ft., one target): A piercing strike with her holy standard, glowing with faint radiant light.",Bolster (2 Options),"As an action, choose one:
- Rally: One ally within 30 ft. gains advantage on their next attack roll.
- Shield: One ally within 30 ft. gains 1d4+2 temporary HP.",,,,,https://static.wikia.nocookie.net/fategrandorder/images/a/aa/S059_Costume1.webp
75,Miyamoto Musashi,Fate GO,DPS,1,3,19,4d6+4,12,4,Melee Weapon Attack,DEX,5 ft.,1 target,1d8+2,slashing,,,30 ft.,DEX +4,+2,+4,+2,+0,+1,+0,DEX,"Niten Ichi-ryu (Melee Weapon Attack, reach 5 ft., one target): A twin-sword slashing combo from the two-heavens-as-one style.",,,,,,,https://static.wikia.nocookie.net/fategrandorder/images/5/55/S153_Stage4.webp
76,Heracles,Fate GO,Tank,1,3,23,6d6+6,15,3,Melee Weapon Attack,STR,5 ft.,1 target,1d6+2,bludgeoning,,,25 ft.,CON +4,+3,+0,+4,-1,+1,+0,CON,"Brutal Smash (Melee Weapon Attack, reach 5 ft., one target): A devastating bludgeoning blow from the demigod's massive axe-sword.",,,,,,,https://static.wikia.nocookie.net/fategrandorder/images/a/a3/S047_Stage4.webp
77,Francis Drake,Fate GO,DPS,1,4,45,6d8+8,13,5,Ranged Weapon Attack,DEX,60 ft.,1 target,1d10+3,piercing,,,30 ft.,DEX +5,+3,+5,+3,+1,+2,+1,DEX,"Flintlock Volley (Ranged Weapon Attack, range 60 ft., one target): A fiery pistol-shot from the pirate's twin flintlocks, dealing piercing damage.",,,,"Golden Wild Hunt (1/Summon): Francis Drake unleashes her Noble Phantasm. 30-ft cone. DC 14 DEX save. On a failed save, 4d6 piercing damage plus 1d6 fire damage and the target has disadvantage on its next critical-hit roll (must roll twice and take the lower); half as much damage on a successful save.",,,https://static.wikia.nocookie.net/fategrandorder/images/1/1a/S065_Stage4.webp
78,Tamamo-no-Mae,Fate GO,Support,1,4,37,5d8+6,13,5,Ranged Spell Attack,WIS,60 ft.,1 target,1d8+2,force,,,30 ft.,WIS +5,+0,+1,+1,+3,+5,+4,WIS,"Mirror Bolt (Ranged Spell Attack, range 60 ft., one target): A reflected fox-fire bolt of magical force.",Bolster (2 Options),"As an action, choose one:
- Rally: One ally within 30 ft. gains advantage on their next attack roll.
- Shield: One ally within 30 ft. gains 1d4+2 temporary HP.",1/Summon (1d8+2),"Eightfold Blessing of Amaterasu (1/Summon): Tamamo-no-Mae unleashes her Noble Phantasm. Choose two allies within 30 ft.; each regains 2d8+3 HP and is cleansed of one condition (charmed, frightened, paralyzed, or blinded). If only one ally is targeted, they instead regain 3d8+4 HP and may immediately use their reaction to make one attack.",,,https://static.wikia.nocookie.net/fategrandorder/images/b/b7/S062_Stage4.webp
79,Gilgamesh,Fate GO,DPS,2,3,40,8d8+12,14,6,Ranged Weapon Attack,DEX,60 ft.,1 target,2d6+3,piercing,,,30 ft.,DEX +6,+4,+6,+4,+2,+3,+2,DEX,"Gate of Babylon (Ranged Weapon Attack, range 60 ft., one target): A piercing volley of treasury-blades fired from the King of Heroes' golden gates.",,,,,,,https://static.wikia.nocookie.net/fategrandorder/images/6/6a/S012_Stage4.webp
80,Altria Pendragon,Fate GO,Tank,2,3,67,10d8+16,17,5,Melee Weapon Attack,STR,5 ft.,1 target,1d10+3,slashing,,,25 ft.,CON +6,+5,+2,+6,+1,+3,+2,CON,"Excalibur Strike (Melee Weapon Attack, reach 5 ft., one target): A slashing strike from the Sword of Promised Victory wreathed in faint radiant light.",,,,,,,https://static.wikia.nocookie.net/fategrandorder/images/b/be/S002_Stage4.webp
81,Dioscuri,Fate GO,DPS,2,3,40,8d8+12,14,6,Melee Weapon Attack,DEX,5 ft.,1 target,2d6+3,slashing,,,30 ft.,DEX +6,+4,+6,+4,+2,+3,+2,DEX,"Twin Blades (Melee Weapon Attack, reach 5 ft., one target): A coordinated dual-strike from the twin gods, dealing slashing damage.",,,,,,,https://static.wikia.nocookie.net/fategrandorder/images/4/4f/S278_Stage4.webp
82,Merlin,Fate GO,Support,2,3,34,6d8+10,13,6,Ranged Spell Attack,WIS,60 ft.,1 target,1d8+2,force,,,30 ft.,WIS +6,+1,+2,+2,+4,+6,+5,WIS,"Staff Bolt (Ranged Spell Attack, range 60 ft., one target): A bolt of bewildering illusion magic that strikes with force.",Empower (3 Options),"As an action, choose one:
- Inspire: One ally within 30 ft. gains advantage on next attack and deals +1d4 damage on next hit.
- Fortify: One ally within 30 ft. gains 1d6+4 temporary HP.
- Hex: One enemy within 30 ft. has disadvantage on their next attack roll.",,,,,https://static.wikia.nocookie.net/fategrandorder/images/2/2e/S150_Stage4.webp
